𭕄			⿲丶丶㇒
尢	大		⿸𠂇乚
千			⿱㇒十
么			⿱㇒厶
义			⿶乂丶
𠃓			⿹𠄎⿰丿丿
㔾	ㄗ		㔾
丫			⿱丷丨
𠀃			⿱冂一
𠀃			⊖且𠄠
卄			⿻一⿰丨丨
乡	;	⿳𠃋𠃋丿	乡
丌			⿱一⿰丿丨
𰀠			⿰丨{24}
丸			⿻九丶
丸			⿵九丶
乞			⿱𠂉乙
乇			⿱㇒七
乇			⿱㇒⿻乚一
卂			⿹⺄十
卂			⿹㇈十
饣	;	⿱⺈𠄌	饣
久	;	⿸𠂊㇏	久
𠂌			⿱㇒⿻一亅
彑			⿱{30}一
凡			⿵几丶
飞			⿰⺄{24}
飞			⿰⺄𡿨
𰀃			⿱一冂
巛			⿲𡿨𡿨𡿨
𠔼			⿵冂一
亇			⿱⿰㇒乛亅
亇			⿱𠂉亅
亇			⿱⿰㇒乛丨
刃			⿹刀㇒
刃			⿹刀丶
刃			⿻刀丶
刃			⿹𠃌㐅
卫			⿱𰆊一
亿			⿰亻乙
丈			⿻𠂇乀
亏			⿱一丂
亐			⿱一𠀁
𠂎			⿰{39}丿
卪			⿻卩丶
叉			⿴又丶
𭠍			⿻𫠠㇒
𭠍			⊖戈丶
𰀂			⿻匚一
𰀄			⿷匚一
𡳾			⿻凵乚
𫶧			⿲丿丨乚
孑			⿻了㇀
𬼽			⿱一丅
䶹			⿻凵丿
孓			⿻了㇏
↔弓			
㔿			⿱一丩
乆			乆
乊			⿱㇒丷
亼			⿱𠆢一
亼			⿱人一
亽			⿱𠆢丶
亾			⿺𠃊人
凢			⿱㇒几
刄			⿻刀乀
夨			⿱𠃊大
孒			⿰了一
𠀄			⿱乛丄
𠀆			𠀆
𠃒			⿻𠃊十
𠃒			⿻㇄十
𠃔			⿰𠂈乚
𠆣			⿱一人
𠆥			⿻人㇒
𠆥			⿻人丿
𠓛			⿱入一
𠔀			⿻八一
𠙵			⿶凵一
𠚤			⿱⺈丶
𠚤			⿰㇒龴
𠠲			⿰㇒力
𠠲			⿻勹丿
𠧒			⿱⺊乙
𠫓			⿻一厶
𠫓			⿱亠厶
𡕒			⿻丅𠃋
𡕒			⿻丅𠃊
𡤼			⿰一了
𡯂			⿱八几
𡰣			⿱{50}丿
𢌬			⿻八一
𢌬			⿻儿一
𢎗			𢎗
𢎘			⿱𠃌㇉
𣱱			⿰㇒𰛅
𣱱			⊖水一
𪜀			𪜀
𪜁			⿱一𰆊
𪟨			⿺乚匕
𫝄			⿻人㇒
𫝄			⊖久一
𫡃			⿲丨一丨
𫡏			⿱𠂉丿
𬺱			⿹十㇒
𬺱			⊖木㇏
𬺳			⿱一刀
𬼖			⿷匸一
𬼸			⿱丷亅
𭅲			⿴㔾丶
𰀰			⿳⺄⺄⺄
𱍸			⿸⿱㇒𠄌乀
日	日		⿴囗一
木			⿻十𠆢
月	月		⿵⺆二
心	小		⿰㇒⿻乚⿰丶丶
戈			⿺𭠍丶
⺝	月		⺝
攵	;	⿱𠂉乂	攵
𠮛			⿱一口
王			⿱一土
斤			⿸𠂆丅
方			⿱丶万
不			⿸丆⿰丨丶
不			⿻丆卜
灬	小		灬
中			⿻口丨
龶			⿻土一
