尔	1785	(⿱,(⿰,㇒,乛),小)	
𠃌	0	𠃌	..
王	2382	(⿱,一,土)	^
尓	0	(⿱,𠂉,小)	
者	10986	(⿱,耂,日)	
者	10986	(⿻,(⿱,耂,日),丶)	
工	8723	(⿱,丅,一)	.
有	38249	(⿸,𠂇,⺝)	
有	38249	(⿸,𠂇,月)	
广	1228	(⿱,丶,厂)	
你	42649	(⿰,亻,尔)	
你	42649	(⿰,亻,尓)	
艹	0	(⿻,一,(⿰,丨,丨))	.
艹	0	(⿰,十,十)	.
斤	271	(⿸,𠂆,丅)	
儿	1820	(⿰,丿,乚)	.
方	11028	(⿱,丶,万)	
乛	0	乛	..
不	33173	(⿸,丆,(⿰,丨,丶))	.
不	33173	(⿻,丆,卜)	.
門	1520	(⿰,𠁣,𠃛)	.
田	3664	(⿴,囗,十)	.
了	27760	(⿱,乛,亅)	.
讠	0	讠	..
夕	244	(⿴,𠂊,丶)	.
耳	540	耳	..
小	8757	(⿲,㇒,亅,丶)	.
䒑	0	(⿱,丷,一)	
灬	0	灬	..
忄	0	忄	..
是	25132	(⿱,日,𤴓)	
𤴓	0	(⿱,一,龰)	
京	3754	(⿱,亠,𱒃)	
中	22469	(⿻,口,丨)	.
至	3382	(⿱,𠫔,土)	
龶	0	(⿻,土,一)	.
⺆		⺆	..
既	8414	(⿰,{18},旡)	
止	1822	(⿻,上,丨)	.
耂	0	(⿻,土,㇒)	
巨	625	(⿷,匚,{50})	
𤣩	0	𤣩	..
𥫗	0	𥫗	..
貝	96	(⿱,目,八)	
冖	0	冖	..
佢	30821	(⿰,亻,巨)	
三	12547	三	..
系	4386	(⿱,㇒,糸)	
系	4386	(⿳,一,幺,小)	
尤	492	(⿺,尢,丶)	
在	29695	(⿸,{57},土)	
可	11206	(⿹,丁,口)	
去	18551	(⿱,土,厶)	
車	3135	(⿻,亘,丨)	.
生	17335	(⿰,㇒,龶)	.
生	17335	(⿻,𠂉,土)	.
隹	0	(⿰,亻,(⿱,丶,(⿻,工,二)))	.
隹	0	(⿰,亻,(⿱,丶,(⿻,王,一)))	.
隹	0	(⿰,亻,(⿱,亠,龶))	.
巾	60	(⿻,冂,丨)	.
𦍌	0	(⿱,䒑,土)	
𦍌	0	(⿱,丷,王)	
係	16667	(⿰,亻,系)	
就	28268	(⿰,京,尤)	
𰀁	0	(⿻,二,丨)	.
曰	114	曰	..
凵	0	凵	..
示	3344	(⿱,二,小)	^
示	3344	(⿱,二,𡭔)	^
里	4994	(⿻,日,土)	.
艮	2	(⿸,(⿰,𠄌,𫜹),{24})	.
云	569	(⿱,二,厶)	.
业	4308	(⿱,(⿻,(⿰,丨,丨),丷),一)	.
纟	0	纟	..
走	5730	(⿱,土,龰)	
己	3648	己	..
都	26153	(⿰,者,阝)	
寺	395	(⿱,土,寸)	＾
寺	395	(⿱,士,寸)	＾
覀	0	(⿱,一,(⿻,口,(⿰,丨,丨)))	.
文	6571	(⿱,亠,乂)	^
立	7283	(⿱,亠,䒑)	
立	7283	(⿱,丶,𰀆)	
旣	0	(⿰,皀,旡)	
嘅	24553	(⿰,口,既)	
嘅	24553	(⿰,口,旣)	
𭥴	0	(⿱,(⿻,𫩏,丷),日)	
見	6357	(⿱,目,儿)	
米	3418	(⿻,丷,木)	.
同	21930	(⿵,冂,𠮛)	
正	7997	(⿱,一,止)	
牙	399	(⿹,(⿻,丁,𠃋),㇒)	.
牙	399	(⿹,(⿻,丁,𠃊),㇒)	.
𱼀	0	(⿻,夕,丶)	.
刀	489	(⿹,𠃌,丿)	.
𠃍	0	𠃍	..
到	22389	(⿰,至,刂)	
要	22856	(⿱,覀,女)	
上	19417	(⿱,⺊,一)	.
丁	549	(⿱,一,亅)	.
玉	766	(⿻,王,丶)	
亍	0	(⿱,一,丁)	
𠄌	0	𠄌	..
