	element	sub_ids	regions	elm_type	stroke	freq2	count2	dep2
8132	嵬	⿱山鬼	GHTJKPV		12	1353.2	1	('嵬', '㠢', '䃬', '𠎺', '𠑖', '𠿯', '𡓮', '𡾵', '𢢯', '𢶟', '𢶼', '𣰏', '𤀖', '𤐜', '𤛲', '𤩫', '𤮞', '𥋳', '𧥇', '𪇋')
8133	渥	⿰氵屋	GHTJKPV		12	1291.9	1	('渥', '𩅵')
8134	芷	⿱艹止	GHTJKPV		7	75116.0	1	('芷', '淽', '𦯝', '𮞟')
8135	附	⿰阝付	GHTJKPV		7	74250.0	1	('附', '䮛', '𡍃', '𦝗', '𦝗', '𦱖', '𧨽', '𩷺', '𱸌')
8136	投	⿰扌殳	GHTJKPV		7	73133.6	1	('投', '𠲴', '𡷠', '𥦆', '𥦆', '𫽌', '𫽟', '𭠚')
8137	况	⿰冫兄	GHTJKPV		7	71535.4	1	('况', '𪋃')
8138	玪	⿰𤣩今	GHTJKP		8	55.8	1	('玪', '𦲖', '𩃨')
8139	矤	⿰弓矢	GTJK		8	55.8	1	('矤', '彂', '𤼵', '𰱜')
8140	苨	⿱艹尼	GHTJKP		8	55.8	1	('苨', '𩋪')
8141	𠧢	⿱⺊㫐	GT		8	55.8	1	('𠧢', '㲃', '𠜷', '𠸿', '𡪥', '𢽭', '𣂢', '𧡑', '𠣿', '𢋁', '𨖏')
8142	帙	⿰巾失	GHTJKPV		8	54.5	1	('帙', '𲀶')
8143	肬	⿰月尤	GJKP		8	48.8	1	('肬', '𤷊', '𧌌')
8144	肬	⿰⺼尤	T		8	48.8	1	('肬', '𤷊', '𧌌')
8145	狍	⿰犭包	GHTK		8	45.1	1	('狍', '𮏜')
8146	侙	⿰亻式	GTJKP		8	41.8	1	('侙', '𧶣')
8147	坥	⿰土且	GTJK		8	41.8	1	('坥', '𣶝')
8148	昒	⿰日勿	GHTJKP		8	41.8	1	('昒', '𭝓')
8149	欥	⿰日欠	GHTK		8	41.8	1	('欥', '𣣒')
8150	𫼉	⿰户戈	G		8	41.8	1	('𫼉', '啔', '肈', '䁉', '䋯', '𪦽', '𪭛', '𫼑', '𬙣', '𲎖')
8151	𫼉	⿰戶戈	Z		8	41.8	1	('𫼉', '啔', '肈', '䁉', '䋯', '𪦽', '𪭛', '𫼑', '𬙣', '𲎖')
8152	𠈇	⿰亻㐁	GT		8	41.7	1	('𠈇', '㝛', '𧁌', '𧁌', '𧁌', '𢴀', '𦄲', '𰱵')
8153	坩	⿰土甘	GHTJKP		8	39.0	1	('坩', '𱷄', '𱷄')
8154	{60}	{60}	.	unencoded	17	0.0	0	('{60}', '𡤞', '𦫉', '𪚱', '𪚺', '𪛀', '𪛄', '𪛅', '𪛆', '𬋣')
8155	{32}	{32}	.	unencoded	8	0.0	0	('{32}', '𠪹', '𣓝', '𥩒', '𥺠', '𧜩', '𭞩', '𭬟', '𭿃', '𭿣', '𢢺', '𩕫')
8156	{93}	{93}	.	unencoded	9	0.0	0	('{93}', '亀', '竃', '縄', '縄', '蝿', '𡪫', '𥕠', '𥧄', '𥧄', '𦋸', '穐', '䆴', '䆴', '䦰', '䰗', '𠼓', '𦅥', '𦿷', '𩰘')
8157	㇋	㇋	.		2	0.0	0	('㇋', '𢌤', '𢌤')
8158	㇎	㇎	.		2	0.0	0	('㇎', '𱍫')
8159	乄	乄	GJ		2	0.0	0	('乄', '𬼆', '𬼆', '𱶮', '𱶮')
8160	{116}	{116}	.	unencoded	4	0.0	0	('{116}', '䴡', '𤂏', '𤅯', '𤐅', '𧠀', '𭳩', '𮫗', '𮭴', '𠐚', '𤂢', '𪇾', '𭒭', '𮍇', '𮠑', '𮪜', '𤅯')
8161	{35}	{35}	.	unencoded	4	0.0	0	('{35}', '𠖵', '𡍙', '𫖼', '𫖿', '𫗀', '𫗁', '𫗃', '𫿕', '𬱶', '𬱹', '𬲁', '𬲃', '𬲄', '𬵘', '𱓄', '𱠍', '𱡴', '𱡵', '𱣩')
8162	{92}	{92}	.	unencoded	4	0.0	0	('{92}', '𤔞', '𧑴', '𪛇', '𮂪', '𮒮', '𮧂', '𮯟')
8163	{106}	{106}	.	unencoded	5	0.0	0	('{106}', '𠭫', '𡛹', '𢶬', '𢶬', '𢸕', '𢸕', '𣐦', '𦫁', '𦫂', '𧰌', '𩽃', '𭟩', '𭼿', '𮣅', '𱨠', '𩄉')
8164	𠤬	𠤬	GT		2	0.0	0	('𠤬',)
8165	𬼀	⿱丶㇒	J		2	0.0	0	('𬼀', '𡏳', '𥧈', '𦹆', '𱲣', '𡆐', '𡒣', '𢋓', '𣩲', '𤁉', '𤑆', '𤪣', '𥌵', '𥎚', '𧢚', '𧭩', '𩁘', '𩴴', '𪇠', '𦣚')
8166	𰀫	⿰丿㇈	B		2	0.0	0	('𰀫', '𡯁', '𭺛', '𦈪')
8167	𰍧	⿰㇒亅	B		2	0.0	0	('𰍧', '𭩲', '𱘭', '𲉒', '𲉛', '𲉛', '𭪗', '𢚈', '𤒁', '𥲸', '𭫴', '𭸧')
8168	𠄏	⿿了	GTP		2	0.0	0	('𠄏', '𢆴', '𱹫', '𱹫')
8169	𠄍	⿰𠄌亅	GT		2	0.0	0	('𠄍', '𱷘', '𱷘')
8170	𠃏	⿰𠄌乚	GT		2	0.0	0	('𠃏', '𠮪', '𥄀', '𥾆', '𦫷', '𩑍', '𪖑', '𲁹', '𦮁')
8171	𠁡	⿰丨𠃍	GT		2	0.0	0	('𠁡', '𠀞', '𠀞', '𡖄', '𢀑')
8172	𠀀	𠀀	GT		2	0.0	0	('𠀀',)
