38913	頁	9
19988	且	5
21378	厂	2
21344	占	5
21508	各	6
19979	下	3
22320	地	6
20045	乍	5
30707	石	5
20998	分	4
38899	音	9
20875	冋	5
25142	戶	4
25142	戶	4
25104	成	6
24339	弓	3
22763	士	3
22763	士	3
34892	行	6
19973	丅	2
19973	丅	2
19975	万	3
11912	⺈	2
20107	事	8
29992	用	5
32780	而	6
23665	山	3
36125	贝	4
21644	和	8
38632	雨	8
38632	雨	8
21566	吾	7
21152	加	5
40887	龷	5
32650	羊	6
32650	羊	6
20907	冫	2
25163	手	4
25144	戸	4
138068	𡭔	3
30001	由	5
22825	天	4
22810	多	6
20061	九	2
21509	吅	6
25098	戊	5
11904	⺀	2
14197	㝵	8
178784	𫩠	8
24471	得	11
21488	台	5
22283	國	11
24178	干	3
21453	反	4
21453	反	4
28779	火	4
35925	豕	7
183984	𬺰	2
183984	𬺰	2
177977	𫜹	3
38737	靑	8
38737	靑	8
23426	宂	5
23426	宂	5
21637	咅	8
25289	拉	8
24051	巳	3
31348	穴	5
21476	古	5
36825	这	7
20060	乜	2
37330	釒	8
26550	架	9
24417	彡	3
30326	癶	5
131218	𠂒	4
131218	𠂒	4
23478	家	10
24052	巴	4
20146	亲	9
196846	𰃮	5
20883	冓	10
163767	𧾷	7
20132	交	6
29275	牛	4
34916	衤	5
34916	衤	5
156880	𦓐	5
21270	化	4
21270	化	4
21780	唔	10
33021	能	10
24032	巠	7
21353	卩	2
29227	爫	4
29227	爫	4
21946	喺	12
38263	長	8
27425	次	6
27425	次	6
20808	先	6
20808	先	6
20316	作	7
20803	元	4
21692	咼	8
39318	首	9
39318	首	9
20817	兑	7
35265	见	4
26524	果	8
32594	罒	5
26469	来	7
24819	想	13
39640	高	10
37096	部	10
21862	啦	11
158063	𦥯	12
135740	𡈼	4
22794	夊	3
21697	品	9
186664	𭤨	6
38463	阿	7
40654	黎	15
35441	話	13
30003	申	5
29276	牜	4
21688	咸	9
21688	咸	9
27492	此	6
37027	那	6
131275	𠃋	1
40880	龰	4
36710	车	4
30399	皿	5
36947	道	12
20010	个	3
25152	所	8
25152	所	8
24066	市	5
23450	定	8
17357	䏍	6
17357	䏍	6
178631	𫧇	4
161287	𧘇	4
21513	吉	6
20034	乂	2
20800	兀	3
20196	令	5
20196	令	5
20196	令	5
23569	少	4
23569	少	4
21729	員	10
24331	弋	3
20294	但	7
21274	匚	2
35611	講	17
34411	虫	6
27665	民	5
23565	對	14
20960	几	2
20844	公	4
28858	為	9
25925	故	9
26032	新	13
20104	予	4
21450	及	3
30382	皮	5
20851	关	6
20851	关	6
21069	前	9
21069	前	9
22828	夬	4
20009	丩	2
29702	理	11
20026	为	4
40884	龴	2
11916	⺌	3
