我	4240637.8	9859
之	3236504.7	9751
不	3199008.9	9644
的	3162385.2	9539
人	2348288.1	9460
一	2321002.7	9383
有	2152482.2	9311
系	1964508.4	9246
以	1963693.3	9180
係	1925597.2	9116
也	1862479.4	9054
是	1757367.7	8996
而	1640206.6	8941
个	1616005.0	8887
個	1615135.2	8833
你	1604375.9	8780
为	1524455.0	8729
為	1522946.8	8678
了	1512173.4	8628
好	1409821.6	8581
到	1327246.1	8536
大	1314516.0	8493
唔	1284696.5	8450
子	1280649.6	8407
其	1255317.7	8365
就	1222356.8	8325
都	1213443.2	8284
佢	1201390.0	8244
上	1153806.9	8206
地	1126439.6	8168
下	1122906.6	8131
于	1102719.9	8094
在	1044276.0	8059
者	1004860.4	8026
得	988186.2	7993
后	974846.1	7960
无	962823.8	7928
無	946506.5	7896
道	943074.2	7865
曰	931648.4	7834
出	900232.9	7804
可	895999.2	7774
嘅	895485.4	7744
於	871312.1	7715
来	864136.0	7686
來	864088.9	7658
時	855326.3	7629
时	855326.3	7629
咁	853361.6	7572
然	848990.5	7544
去	833905.7	7516
過	829486.7	7488
过	829486.7	7488
這	822588.4	7433
这	822588.4	7433
後	812057.6	7379
他	811463.4	7352
自	798557.2	7325
中	787351.8	7299
會	767625.3	7273
会	767625.3	7273
所	760371.1	7222
天	748944.1	7197
同	739308.7	7173
王	729387.7	7148
知	707739.1	7125
既	702273.6	7101
要	683177.9	7079
心	669648.1	7056
事	637200.5	7035
左	636074.6	7014
能	615035.8	6993
说	613808.9	6973
說	613526.1	6953
年	582571.2	6933
生	570532.9	6914
見	569940.2	6895
见	569940.2	6895
小	564145.7	6857
著	563784.2	6838
十	552026.7	6820
住	549526.1	6802
公	542641.4	6784
如	538740.3	6766
面	533842.9	6748
對	533399.3	6730
对	533399.3	6730
行	532152.4	6695
又	531823.2	6677
手	521757.2	6660
身	516557.9	6642
日	514151.9	6625
家	512405.3	6608
話	503028.6	6591
话	503028.6	6591
只	501021.1	6558
声	487633.5	6542
聲	487605.6	6525
將	487051.4	6509
将	487051.4	6509
想	485687.1	6477
呀	480863.0	6461
三	480010.5	6445
則	479228.9	6429
则	479228.9	6429
从	467135.3	6397
成	463601.0	6382
開	462557.9	6366
开	462557.9	6366
起	455675.3	6336
着	453925.8	6321
國	453505.6	6305
国	453505.6	6305
多	452031.4	6275
已	447748.5	6260
头	447495.9	6245
頭	447468.0	6230
講	444109.3	6216
讲	444109.3	6216
当	438374.9	6186
那	432339.8	6172
們	430795.0	6157
们	430795.0	6157
但	428547.2	6129
用	425579.1	6115
二	422611.7	6101
前	422399.4	6086
呢	420324.3	6072
啦	417812.3	6059
點	415816.3	6045
点	415816.3	6045
故	414493.1	6017
己	413477.7	6003
入	407351.8	5990
与	406542.6	5976
與	406431.1	5963
經	404317.3	5949
经	404317.3	5949
女	403543.0	5922
先	403452.6	5909
明	403022.3	5895
意	396198.8	5882
真	391468.8	5869
此	388432.4	5856
里	382238.0	5843
发	381492.1	5831
相	381297.9	5818
太	379525.0	5805
問	377718.4	5793
问	377718.4	5793
死	374994.3	5768
么	372255.2	5755
麼	372006.5	5743
方	369874.6	5730
君	369117.0	5718
何	359732.7	5706
老	351638.7	5694
样	350282.8	5683
使	349417.7	5671
夫	348072.0	5659
樣	345670.2	5648
長	344689.5	5636
长	344689.5	5636
當	343662.8	5614
两	340813.2	5602
兩	340799.2	5591
至	339013.3	5579
还	338906.4	5568
還	338864.6	5557
間	337467.6	5546
间	337467.6	5546
气	335128.6	5523
氣	333287.7	5512
言	330795.2	5501
實	330408.4	5490
实	330408.4	5490
今	328850.3	5468
正	328100.3	5457
看	327550.5	5446
因	323678.9	5435
和	322932.9	5425
發	321307.5	5414
听	319040.5	5403
月	318861.4	5393
侯	318849.3	5382
几	318090.3	5371
没	317967.9	5361
沒	317739.5	5350
做	317146.9	5340
定	314191.2	5329
從	313181.3	5319
再	310929.6	5308
笑	309582.9	5298
望	307533.4	5288
五	307151.5	5278
果	305347.1	5267
力	305203.4	5257
軍	302659.3	5247
军	302659.3	5247
走	298634.3	5227
邊	298315.8	5217
边	298315.8	5217
四	296114.4	5197
比	294370.0	5188
打	292488.3	5178
咗	291940.7	5168
情	290037.8	5158
主	288740.7	5149
次	287467.8	5139
阿	285878.3	5130
法	282893.7	5120
她	279386.4	5111
口	278296.0	5102
少	277759.3	5092
度	277690.1	5083
食	276146.4	5074
眼	273555.7	5065
高	272381.0	5056
門	268116.3	5047
门	268116.3	5047
学	267449.3	5029
动	265548.6	5020
分	264892.2	5011
民	263451.9	5003
未	263098.8	4994
咩	262806.5	4985
學	261981.3	4976
應	259867.1	4968
应	259867.1	4968
令	259743.0	4950
臣	258747.0	4942
本	258541.1	4933
觉	256950.2	4924
覺	256922.3	4916
幾	256358.7	4907
非	254645.1	4899
乎	254516.2	4890
水	253508.5	4882
齊	252196.2	4874
齐	252196.2	4874
现	251052.1	4857
現	251024.2	4848
外	250255.9	4840
文	249436.0	4832
神	248889.4	4823
師	247775.3	4815
师	247775.3	4815
動	245755.6	4799
啲	244831.0	4791
仲	244646.3	4782
