士	⿻一丄	一丨一
士	⿱十一	一丨一
万	⿸丆𠃌	万
山	⿶凵丨	凵丨
𡭔	⿲㇒丨丶	𡭔
干	⿱一十	一十
𫜹	⿻{50}一	{50}一
巳	巳	巳
彡	⿳㇒㇒㇒	㇒㇒㇒
夊	夊	夊
个	⿱𠆢丨	𠆢丨
兀	⿱一儿	一儿
{48}	㐄	{48}
弋	⿺𫠠丶	𫠠丶
及	及	及
⺌	⺌	⺌
川	⿲丿丨丨	丿丨丨
丬	⿰冫丨	冫丨
才	⿹𬺰㇒	𬺰㇒
才	⿻𬺰㇒	𬺰㇒
之	⿱丶{100}	丶{100}
𫝀	⊖五一	𫝀
廾	⿻一⿰丿丨	廾
犭	犭	犭
{25}	{畏下}	{25}
𰃦	⿱㇒冂	㇒冂
龵	⿱㇒⿻二丿	㇒二丿
习	⿹𠃌冫	𠃌冫
于	⿱一𬺰	一𬺰
已	已	已
马	⿹{52}一	{52}一
与	⿹{22}一	{22}一
与	⿻{22}一	{22}一
𰛅	⿰亅{24}	亅{24}
𰛅	⊖水㇇	亅{24}
𠂋	⿸𠂆一	𠂆一
𭕄	⿲丶丶㇒	丶丶㇒
尢	⿸𠂇乚	尢
千	⿱㇒十	㇒十
么	⿱㇒厶	㇒𠃋丶
{23}	{与}	{23}
义	⿶乂丶	乂丶
𠃓	⿹𠄎⿰丿丿	𠄎丿丿
㔾	㔾	㔾
丫	⿱丷丨	丷丨
𠀃	⿱冂一	冂一
𠀃	⊖且𠄠	冂一
卄	⿻一⿰丨丨	一丨丨
{45}	{北左}	{45}
乡	乡	乡
丌	⿱一⿰丿丨	一丿丨
𰀠	⿰丨{24}	丨{24}
{58}	{𠂎}	{58}
{20}	丸	{20}
丸	⿻九丶	九丶
丸	⿵九丶	九丶
乞	⿱𠂉乙	㇒一乙
乇	⿱㇒七	㇒七
乇	⿱㇒⿻乚一	㇒七
卂	⿹⺄十	⺄十
卂	⿹㇈十	⺄十
饣	饣	饣
久	久	久
𠂌	⿱㇒⿻一亅	㇒一亅
{71}	{𠀉甲}	{71}
彑	⿱{30}一	{30}一
凡	⿵几丶	几丶
飞	⿰⺄{24}	⺄{24}
飞	⿰⺄𡿨	⺄{24}
{117}	{𠂛}	{117}
{86}	{灬三}	{86}
𰀃	⿱一冂	一冂
{42}	彐	{42}
巛	⿲𡿨𡿨𡿨	𡿨𡿨𡿨
𠔼	⿵冂一	冂一
亇	⿱⿰㇒乛亅	㇒乛亅
亇	⿱𠂉亅	㇒乛亅
亇	⿱⿰㇒乛丨	㇒乛亅
刃	⿹刀㇒	刀㇒
刃	⿹刀丶	刀㇒
刃	⿻刀丶	刀㇒
刃	⿹𠃌㐅	刀㇒
卫	⿱𰆊一	𰆊一
亿	⿰亻乙	㇒丨乙
丈	⿻𠂇乀	𠂇乀
亏	⿱一丂	一一㇉
{108}	{𭁟}	{108}
{10}	{凡}	{10}
亐	⿱一𠀁	一一㇉
𠂎	⿰{39}丿	{39}丿
卪	⿻卩丶	卩丶
叉	⿴又丶	又丶
𭠍	⿻𫠠㇒	𫠠㇒
𭠍	⊖戈丶	𫠠㇒
𰀂	⿻匚一	匚一
𰀄	⿷匚一	匚一
𡳾	⿻凵乚	凵乚
𫶧	⿲丿丨乚	丿丨乚
{37}	⿱⺊冖	{37}
孑	⿻了㇀	了㇀
𬼽	⿱一丅	一一丨
䶹	⿻凵丿	凵丿
孓	⿻了㇏	了㇏
{9}	{亇}	{9}
{34}	{刀}	{34}
{8}	{屯}	{8}
{109}	{チ}	{109}
{69}	⿻立⿺[乂]丶	{69}
{77}	{𠀉}	{77}
{102}	{癶右}	{102}
{85}	⿱丶{厂}	{85}
↔弓		↔弓
㔿	⿱一丩	一丩
乆	乆	乆
乊	⿱㇒丷	㇒丷
亼	⿱𠆢一	𠆢一
亼	⿱人一	𠆢一
亽	⿱𠆢丶	𠆢丶
亾	⿺𠃊人	𠃊人
凢	⿱㇒几	㇒几
刄	⿻刀乀	刀乀
夨	⿱𠃊大	𠃊大
孒	⿰了一	了一
𠀄	⿱乛丄	乛丨一
𠀆	𠀆	𠀆
𠃒	⿻𠃊十	𠃊十
𠃒	⿻㇄十	𠃊十
𠃔	⿰𠂈乚	𠄌丿乚
𠆣	⿱一人	一人
𠆥	⿻人㇒	人㇒
𠆥	⿻人丿	人㇒
𠓛	⿱入一	入一
𠔀	⿻八一	八一
𠙵	⿶凵一	凵一
𠚤	⿱⺈丶	⺈丶
𠚤	⿰㇒龴	⺈丶
𠠲	⿰㇒力	㇒力
𠠲	⿻勹丿	㇒力
𠧒	⿱⺊乙	⺊乙
𠫓	⿻一厶	一𠃋丶
𠫓	⿱亠厶	一𠃋丶
𡕒	⿻丅𠃋	一丨𠃋
𡕒	⿻丅𠃊	一丨𠃋
𡤼	⿰一了	一了
𡯂	⿱八几	八几
𡰣	⿱{50}丿	{50}丿
𢌬	⿻八一	八一
𢌬	⿻儿一	八一
𢎗	𢎗	𢎗
𢎘	⿱𠃌㇉	𠃌㇉
𣱱	⿰㇒𰛅	㇒亅{24}
𣱱	⊖水一	㇒亅{24}
𪜀	𪜀	𪜀
𪜁	⿱一𰆊	一𰆊
𪟨	⿺乚匕	乚匕
𫝄	⿻人㇒	人㇒
𫝄	⊖久一	人㇒
𫡃	⿲丨一丨	丨一丨
𫡏	⿱𠂉丿	㇒一丿
𬺱	⿹十㇒	十㇒
𬺱	⊖木㇏	十㇒
𬺳	⿱一刀	一刀
𬼖	⿷匸一	匸一
𬼸	⿱丷亅	丷亅
𭅲	⿴㔾丶	㔾丶
𰀰	⿳⺄⺄⺄	⺄⺄⺄
𱍸	⿸⿱㇒𠄌乀	㇒𠄌乀
日	⿴囗一	日
木	⿻十𠆢	十𠆢
月	⿵⺆二	月
心	⿰㇒⿻乚⿰丶丶	心
戈	⿺𭠍丶	𫠠㇒丶
⺝	⺝	⺝
攵	攵	攵
𠮛	⿱一口	一口
王	⿱一土	一十一
斤	⿸𠂆丅	𠂆一丨
方	⿱丶万	丶万
不	⿸丆⿰丨丶	一丿丨丶
不	⿻丆卜	一丿丨丶
灬	灬	灬
中	⿻口丨	口丨
龶	⿻土一	十一一
止	⿻上丨	⺊一丨
耂	⿻土㇒	十一㇒
巨	⿷匚{50}	匚{50}
𤣩	𤣩	𤣩
尤	⿺尢丶	尢丶
曰	曰	曰
