element	sub_ids	regions	elm_type	stroke	freq	freq1
？	.	.		0.0	0.0	64155.91666666667
⿼	.	.		0.0	0.0	71.95
⿾⺊	.	.		0.0	0.0	55.8
⿾臣	.	.		0.0	0.0	41.8
⿾卍	.	.		0.0	0.0	1.3
⻀	.	.		0.0	0.0	0.0
⿾㠯	.	.		0.0	0.0	0.0
⿾乚	.	.		0.0	0.0	0.0
⿾匕	.	.		0.0	0.0	0.0
⿾弓	.	.		0.0	0.0	0.0
⿾止	.	.		0.0	0.0	0.0
⿾正	.	.		0.0	0.0	0.0
⿾犭	.	.		0.0	0.0	0.0
⿾邑	.	.		0.0	0.0	0.0
⿾𠂤	.	.		0.0	0.0	0.0
⿾𠃍	.	.		0.0	0.0	0.0
⿾𦣞	.	.		0.0	0.0	0.0
⿾𨸏	.	.		0.0	0.0	0.0
⿿⿷	.	.		0.0	0.0	0.0
⿿了	.	.		0.0	0.0	0.0
⿿予	.	.		0.0	0.0	0.0
⿿亚	.	.		0.0	0.0	0.0
⿿凹	.	.		0.0	0.0	0.0
⿿戈	.	.		0.0	0.0	0.0
⿿或	.	.		0.0	0.0	0.0
⿿止	.	.		0.0	0.0	0.0
⿿灬	.	.		0.0	0.0	0.0
⿿虎	.	.		0.0	0.0	0.0
⿿见	.	.		0.0	0.0	0.0
⿿隹	.	.		0.0	0.0	0.0
⿿鬼	.	.		0.0	0.0	0.0
一	('一',)	('GHTJKPV',)		1.0	2321002.7	24616710.664999973
丶	('丶',)	('GHTJKP',)		1.0	113.8	19372150.129999984
㇒	.	.		1.0	0.0	12043385.649999997
丨	('丨',)	('GHTJKP',)		1.0	226.3	11045526.323333317
丿	('丿',)	('GHTJKPV',)		1.0	195.7	6208088.524999999
亅	('亅',)	('GHTJKP',)		1.0	130.8	3681935.4833333343
𠃍	('𠃍',)	('HK',)		1.0	0.0	3311019.6500000004
𠃌	('𠃌',)	('GHV',)		1.0	0.0	3156332.3250000007
乚	('乚',)	('GHTJ',)		1.0	125.5	2718338.1333333324
𠄌	('𠄌',)	('GHT',)		1.0	0.0	2316347.0999999996
乛	('乛',)	('GHK',)		1.0	0.0	2090829.8333333326
𠃋	('𠃋',)	('GHT',)		1.0	0.0	863318.4166666664
𠃊	('𠃊',)	('GHV',)		1.0	0.0	744550.4999999999
乀	('乀',)	('GTJKP',)		1.0	55.8	506839.75000000006
⺄	.	.		1.0	0.0	475960.05000000016
㇈	.	.		1.0	0.0	327558.30000000005
㇄	.	.		1.0	0.0	274948.96666666673
㇀	.	.		1.0	0.0	159790.15
㇇	.	.		1.0	0.0	126754.25
㇏	.	.		1.0	0.0	106813.96666666667
𠃑	('𠃑',)	('HT',)		1.0	0.0	85522.1
乙	('乙',)	('GHTJKPV',)		1.0	21231.2	80605.54999999999
乁	('乁',)	('GTJK',)		1.0	69.7	69746.1
𡿨	('𡿨',)	('GHT',)		1.0	0.0	69110.65
㇉	.	.		1.0	0.0	25326.250000000004
㇂	.	.		1.0	0.0	2743.5
𠃎	('𠃎',)	('K',)		1.0	0.0	27.9
𠃉	('𠃉',)	('GTP',)		1.0	0.0	6.95
㇝	.	.		1.0	0.0	3.6
㇣	.	.		1.0	0.0	0.0
𬼂	('？',)	('J',)		1.0	0.0	0.0
亻	('⿱㇒丨',)	('GHJK',)		2.0	17.5	16866686.81666666
人	('人',)	('GHTJKPV',)		2.0	2348288.1	8115965.550000004
八	('⿰丿㇏', '⿰丿乁')	('GHT', 'JKPV')		2.0	139338.4	5630894.7333333315
阝	('阝',)	('GHTJK',)		2.0	9.8	5411443.21666667
讠	('讠',)	('GH',)		2.0	0.0	4751865.600000006
又	('又',)	('GHTJKPV',)		2.0	531823.2	4671328.866666668
刂	('⿰丨亅',)	('GHTJK',)		2.0	37.8	4186674.283333332
丆	('⿱一丿', '⿱一㇒')	('GK', 'X')		2.0	0.0	3933235.733333334
力	('⿻𠃌丿',)	('GHTJKPV',)		2.0	305203.4	3768011.4999999977
𠂇	('⿻一丿', '⿻㇒一')	('GT', 'H')		2.0	0.0	3475310.2500000005
𠆢	('𠆢',)	('J',)		2.0	0.0	3369349.9333333336
冂	('冂',)	('GHTJKP',)		2.0	502.5	3277187.703333334
卜	('卜',)	('GHTJKPV',)		2.0	20808.7	3241845.0499999993
二	('⿱一一',)	('GHTJKPV',)		2.0	422611.7	2818695.4333333345
十	('⿻一丨',)	('GHTJKPV',)		2.0	552026.7	2775287.7333333334
丷	('⿰丶㇒',)	('GHK',)		2.0	0.0	2750448.5250000004
亠	('⿱丶一', '⿱丨一')	('GHTKP', 'J[K]')		2.0	0.0	2679150.05
厶	('⿰𠃋丶',)	('GHTJKP',)		2.0	223.6	2548534.8666666658
勹	('⿰㇒𠃌',)	('GHTJKP',)		2.0	251.0	2266369.0666666673
𠂉	('⿰㇒一',)	('GJV',)		2.0	0.0	2014274.3666666662
乜	('乜',)	('GHTJKP',)		2.0	100666.1	1963145.5
儿	('⿰丿乚',)	('GHTJKP',)		2.0	148579.0	1960800.0333333327
冖	('冖',)	('GHTJKP',)		2.0	42.9	1850111.0999999985
匕	('⿺乚㇒', '⿺乚一')	('GHJKP', 'T')		2.0	4885.5	1746261.6333333333
丁	('⿱一亅',)	('GHTJKPV',)		2.0	40051.9	1455792.4333333329
⺊	.	.		2.0	0.0	1378800.2000000002
凵	('凵',)	('GHTJKP',)		2.0	57.8	1348573.25
了	('⿱乛亅',)	('GHTJKPV',)		2.0	1512173.4	1308914.7000000002
⺀	.	.		2.0	0.0	1302404.4
𬺰	('⿻一亅', '\u31ef才㇒')	('J', 'X')		2.0	0.0	1279758.95
⺆	.	.		2.0	0.0	1141131.4833333334
冫	('⿱丶㇀',)	('GHTJKP',)		2.0	13.9	994158.9
厂	('⿱一丿',)	('GHTJKP',)		2.0	9005.3	800448.8166666668
刀	('⿹𠃌丿',)	('GHTJKPV',)		2.0	60861.9	787906.5749999998
㐅	('㐅',)	('GTJ',)		2.0	0.0	774379.9749999999
入	('入',)	('GHTJKPV',)		2.0	407351.8	740548.4500000003
⺈	.	.		2.0	0.0	672412.9416666665
卩	('卩',)	('GHTJKP',)		2.0	115.6	653114.25
丅	('⿱一丨', '\u31ef下丶')	('GTJ', 'X')		2.0	13.9	614742.483333333
𠄠	('⿱一一',)	('T',)		2.0	0.0	591228.25
乂	('乂',)	('GHTJKPV',)		2.0	1692.6	568565.3333333334
匚	('匚',)	('GHTJKP',)		2.0	310.6	430441.9000000001
𠘨	('⿰丿⺄',)	('JV',)		2.0	0.0	425156.99999999994
几	('⿰丿㇈',)	('GHTJKPV',)		2.0	318090.3	414575.2916666668
丩	('⿰𠄌丨',)	('GTJP',)		2.0	278.9	342048.5000000001
九	('九',)	('GHTJKPV',)		2.0	137111.3	318882.4166666668
龴	('⿱乛丶',)	('GU',)		2.0	0.0	312544.85
𰆊	('⿹𠃌丨',)	('U',)		2.0	0.0	271047.3
𠂆	('⿱㇒丿',)	('GHT',)		2.0	0.0	244255.26666666666
丂	('⿱一㇉',)	('GTJ',)		2.0	237.1	220947.20000000004
𠄎	('𠄎',)	('GHT',)		2.0	0.0	208237.5
丄	('⿱丨一', '\u31ef上一')	('GHTJ', 'X')		2.0	69.7	188433.65
𠤎	('⿻乚㇒',)	('GTP',)		2.0	0.0	160773.1333333333
廴	('廴',)	('GHTJKP',)		2.0	112.5	148504.2
𠄟	('⿱一一',)	('GT',)		2.0	0.0	127322.55
𰛄	('⿰㇇亅', '\u31ef水{24}')	('B', 'X')		2.0	0.0	126754.25
𰀪	('⿱㇒㇒',)	('S',)		2.0	0.0	101144.83333333334
乃	('⿹𠄎丿',)	('GHTJKPV',)		2.0	208237.5	93446.39999999997
匸	('匸',)	('GHTJKP',)		2.0	139.5	71345.7
七	('⿻一乚', '⿻一㇄')	('GHJKPV', 'T')		2.0	134415.5	67267.53333333333
𠀁	('⿻一㇉',)	('G',)		2.0	0.0	45060.8
𠄐	('⿱乛亅',)	('K',)		2.0	0.0	32684.9
𠘧	('⿰丿㇅',)	('GT',)		2.0	0.0	17857.975
𠂊	('⿰丿㇇',)	('HKV',)		2.0	0.0	14687.15
𫠠	('⿻一㇂', '\u31ef弋丶')	('T', 'X')		2.0	0.0	3401.3
刁	('⿹𠃌㇀',)	('GHTJKPV',)		2.0	2230.9	506.7
巜	('⿰𡿨𡿨',)	('GT',)		2.0	153.4	329.0
𠂈	('⿰𠄌丿', '⿰𠃊丿')	('GT', 'X')		2.0	0.0	13.95
𪜊	('⿱丶㇇',)	('G',)		2.0	0.0	10.25
㇅	.	.		2.0	0.0	0.0
㇋	.	.		2.0	0.0	0.0
㇎	.	.		2.0	0.0	0.0
乄	('乄',)	('GJ',)		2.0	0.0	0.0
𠀀	('𠀀',)	('GT',)		2.0	0.0	0.0
𠁡	('⿰丨𠃍',)	('GT',)		2.0	0.0	0.0
𠃏	('⿰𠄌乚',)	('GT',)		2.0	0.0	0.0
𠄍	('⿰𠄌亅',)	('GT',)		2.0	0.0	0.0
𠄏	('\u2fff了',)	('GTP',)		2.0	0.0	0.0
𠙴	('𠙴',)	('G',)		2.0	0.0	0.0
𠤬	('𠤬',)	('GT',)		2.0	0.0	0.0
𬼀	('⿱丶㇒',)	('J',)		2.0	0.0	0.0
𰀫	('⿰丿㇈',)	('B',)		2.0	0.0	0.0
𰍧	('⿰㇒亅', '\u31ef小丶')	('B', 'X')		2.0	0.0	0.0
𰍨	('⿰亅丶', '\u31ef小㇒')	('B', 'X')		2.0	0.0	0.0
口	('口',)	('GHTJKPV',)		3.0	278296.0	21195581.074999962
扌	('⿻𬺰㇀',)	('GHTJK',)		3.0	9.9	8858127.000000045
辶	('辶',)	('GHTJK',)		3.0	2.0	8822105.133333342
土	('⿱十一',)	('GHTJKPV',)		3.0	75102.6	7338555.383333339
氵	('氵',)	('GHJKP',)		3.0	1.0	5501677.000000039
女	('女',)	('GHTJKPV',)		3.0	403543.0	5434271.3000000175
宀	('⿱丶冖',)	('GHTJKP',)		3.0	1284.5	4231615.325000003
彳	('⿱\U0003002a丨', '⿱㇒亻')	('GHTJKP', 'X')		3.0	656.5	4222002.699999998
寸	('⿹𬺰丶',)	('GHTJKPV',)		3.0	28257.8	4101447.3833333333
艹	('⿻一⿰丨丨', '⿰十十')	('GJ', 'HTK')		3.0	0.9	3434216.808333319
囗	('囗',)	('GHTJKP',)		3.0	831.6	3040146.2999999993
子	('⿻了一',)	('GHTJKPV',)		3.0	1280649.6	3014067.6999999997
大	('⿻一人',)	('GHTJKPV',)		3.0	1314516.0	2857886.099999999
幺	('幺',)	('GHTJKP',)		3.0	654.1	2597988.083333333
也	('⿻乜丨',)	('GHTJKPV',)		3.0	1862479.4	2310816.5
纟	('纟',)	('GH',)		3.0	24.0	2244264.8999999994
忄	('忄',)	('GHTJK',)		3.0	0.0	2061086.399999995
广	('⿱丶厂',)	('GHTJKP',)		3.0	73514.6	1912676.8749999984
小	('⿲㇒亅丶',)	('GHTJKPV',)		3.0	564145.7	1809021.95
勺	('⿹勹丶', '⿹勹一')	('GHTJPV', 'K')		3.0	2310.2	1724307.9499999995
夕	('⿴𠂊丶',)	('GHTJKPV',)		3.0	14617.4	1676156.6500000004
工	('⿱丅一',)	('GHTJKPV',)		3.0	109026.9	1646435.233333334
门	('⿲丨丶𠃌', '⿻冂丨')	('GH', 'Z')		3.0	268116.3	1570900.5999999994
己	('己',)	('GHTJKPV',)		3.0	413477.7	1240322.6999999995
巾	('⿻冂丨',)	('GHTJKPV',)		3.0	15261.1	1181480.3833333303
弓	('⿱{50}㇉',)	('GHTJKPV',)		3.0	21185.7	1178097.7499999998
𰀁	('⿻二丨',)	('VB',)		3.0	0.0	1161578.2999999998
夊	('夊',)	('GHTJKP',)		3.0	404.8	1109142.225
尢	('⿸𠂇乚',)	('GHTJKP',)		3.0	158.2	1026517.5000000001
三	('三',)	('GHTJKPV',)		3.0	480010.5	976961.0
𠂋	('⿸𠂆一',)	('G',)		3.0	0.0	975926.8
尸	('⿰丿{50}',)	('GHTJKPV',)		3.0	59359.3	954048.3000000006
屮	('⿻凵丨', '⿻凵丿')	('GHTK', 'JP')		3.0	878.6	910264.9333333335
夂	('夂',)	('GHTJKP',)		3.0	266.7	829590.8999999999
亍	('⿱一丁',)	('GHTJKPV',)		3.0	31.5	828943.7500000001
犭	('犭',)	('GHTJK',)		3.0	0.0	802855.100000001
士	('⿻一丄', '⿱十一')	('GHTJKPV', 'X')		3.0	219919.3	789131.1999999995
廾	('⿻一⿰丿丨',)	('GHTJKPV',)		3.0	517.8	726698.1499999999
𠫔	('⿱一厶',)	('GT',)		3.0	0.0	722825.95
⺌	.	.		3.0	0.0	720363.6999999998
𫜹	('\u2ffc{50}一',)	('MVU',)		3.0	0.0	659030.6833333333
山	('⿶凵丨',)	('GHTJKPV',)		3.0	225421.8	597289.6000000015
丬	('⿰冫丨',)	('GHJ',)		3.0	0.7	583866.4
干	('⿱一十',)	('GHTJKPV',)		3.0	93887.1	535078.3000000002
马	('⿹{52}一',)	('GH',)		3.0	216042.2	521320.0000000001
巳	('巳',)	('GHTJKPV',)		3.0	13961.8	492561.03333333344
已	('已',)	('GHTJKPV',)		3.0	447748.5	479965.23333333334
彡	('⿳㇒㇒㇒',)	('GHTJKP',)		3.0	460.2	478771.5000000002
亡	('⿱亠𠃊', '⿱亠㇄')	('GPV', 'HTJK')		3.0	116562.5	439771.69999999995
及	('及',)	('GHTJKPV',)		3.0	204099.8	435264.29999999993
万	('⿸丆𠃌',)	('GHTJKPV',)		3.0	166541.3	415439.29999999993
兀	('⿱一儿',)	('GHTJKPV',)		3.0	2192.5	403319.8
𭕄	('⿲丶丶㇒',)	('J',)		3.0	0.0	377519.85
川	('⿲丿丨丨',)	('GHTJKPV',)		3.0	31988.8	363849.74999999994
龵	('⿱㇒⿻二丿',)	('GU',)		3.0	0.0	327550.5
𫝀	('\u31ef五一',)	('J',)		3.0	0.0	307249.1
㐄	('⿻⿱一𠃋丨', '{48}')	('GT', 'J')		3.0	83.7	297173.69999999995
上	('⿱⺊一',)	('GHTJKPV',)		3.0	1153806.9	272308.5
𠃓	('⿹𠄎⿰丿丿',)	('GVU',)		3.0	0.0	266387.2
𠂌	('⿱㇒⿻一亅',)	('T',)		3.0	0.0	254516.2
饣	('饣',)	('GH',)		3.0	6.0	253102.49999999997
𡭔	('⿲㇒丨丶',)	('G',)		3.0	0.0	205190.26666666666
才	('⿹𬺰㇒', '⿻𬺰㇒')	('GHTPV', 'JK')		3.0	148736.5	204753.49999999994
习	('⿹𠃌冫',)	('G',)		3.0	45730.2	180421.36666666664
弋	('⿺𫠠丶',)	('GHTJKPV',)		3.0	3401.3	166184.5
𠀃	('⿱冂一', '\u31ef且𠄠')	('GT', 'X')		3.0	0.0	164420.2
卄	('⿻一⿰丨丨',)	('GTKP',)		3.0	0.0	159561.94999999998
㔾	('㔾',)	('GHTJK',)		3.0	27.9	147622.22499999995
𰃦	('⿱㇒冂',)	('S',)		3.0	0.0	129996.15000000001
𰛅	('⿰亅{24}', '\u31ef水㇇')	('B', 'X')		3.0	0.0	126754.25
个	('⿱𠆢丨',)	('GHTJKPV',)		3.0	1616005.0	116135.0
义	('⿶乂丶',)	('GHTKP',)		3.0	146263.7	110121.79999999999
丸	('⿻九丶', '⿵九丶')	('GJKPV[S][B]', 'HT')		3.0	6897.9	105815.48333333332
乡	('乡',)	('G',)		3.0	46483.4	104553.16666666667
下	('⿱一卜',)	('GHTJKPV',)		3.0	1122906.6	102403.4
乞	('⿱𠂉乙',)	('GHTJKPV',)		3.0	11908.5	100810.20000000001
千	('⿱㇒十',)	('GHTJKPV',)		3.0	142365.2	99556.5
久	('久',)	('GHTJKPV',)		3.0	76178.0	91583.39999999997
刃	('⿹刀㇒', '⿹刀丶', '⿻刀丶', '⿹𠃌㐅')	('GKV[B]', 'HT', 'JP', 'X')		3.0	12870.3	67557.59999999999
𠂎	('⿰{39}丿',)	('V',)		3.0	0.0	65882.8
乇	('⿱㇒七', '⿱㇒⿻一乚', '⿱㇒⿻一乚')	('GKP', 'HJ', 'T')		3.0	185.5	57058.0
𰀠	('⿰丨{24}',)	('B',)		3.0	0.0	57003.475000000006
巛	('⿲𡿨𡿨𡿨',)	('GHTJKP',)		3.0	156.0	53404.1
于	('⿱一𬺰',)	('GHTJKPV',)		3.0	1102719.9	48587.399999999994
𭠍	('⿻𫠠㇒', '\u31ef戈丶')	('J', 'X')		3.0	0.0	34707.0
亏	('⿱一丂',)	('GTKP',)		3.0	13879.6	31641.450000000004
与	('⿹{22}一', '⿻{22}一')	('GHTKV', 'J')		3.0	406542.6	29073.0
凡	('⿵几丶',)	('GHTJKPV',)		3.0	80325.2	27327.216666666667
彑	('⿱{30}一',)	('GHTJKP',)		3.0	139.5	24440.749999999996
丌	('⿱一⿰丿丨',)	('GHTJK',)		3.0	308.4	24181.000000000004
卂	('⿹⺄十', '⿹㇈十')	('GHJK[P][V]', 'T')		3.0	169.4	21216.716666666664
丈	('⿻𠂇乀',)	('GHTJKPV',)		3.0	28822.1	19865.8
䶹	('⿻凵丿',)	('TU',)		3.0	0.0	19603.658333333336
亐	('⿱一𠀁',)	('GK',)		3.0	0.0	16689.05
𡳾	('⿻凵乚',)	('GT',)		3.0	0.0	16181.3
之	('⿱丶{100}',)	('GHTJKPV',)		3.0	3236504.7	15731.6
丫	('⿱丷丨',)	('GHTJKPV',)		3.0	41913.9	13719.5
𠔼	('⿵冂一',)	('GT',)		3.0	0.0	13009.289999999999
𰀂	('⿻匚一',)	('U',)		3.0	0.0	7622.75
亇	('⿱⿰㇒乛亅', '⿱𠂉亅', '⿱⿰㇒乛丨')	('GHKPV', 'T', 'Z')		3.0	0.0	6689.7
𰀄	('⿷匚一',)	('S',)		3.0	0.0	6443.75
卪	('⿻卩丶',)	('GTK',)		3.0	530.0	4762.0
叉	('⿴又丶',)	('GHTJKPV',)		3.0	6745.1	4369.749999999999
么	('⿱㇒厶',)	('GHTJKP',)		3.0	372255.2	3567.2
𫶧	('⿲丿丨乚',)	('J',)		3.0	0.0	1864.9
𬼽	('⿱一丅',)	('J',)		3.0	0.0	1674.6333333333334
亾	('⿺𠃊人',)	('GT',)		3.0	153.4	83.63333333333334
夨	('⿱𠃊大',)	('GTJ',)		3.0	97.6	69.7
𰀃	('⿱一冂',)	('G',)		3.0	0.0	23.6
𢎘	('⿱𠃌㇉',)	('GT',)		3.0	0.0	6.95
㔿	('⿱一丩',)	('GTK',)		3.0	13.9	0.0
乆	('乆',)	('GT',)		3.0	0.0	0.0
乊	('⿱㇒丷',)	('GK',)		3.0	0.0	0.0
亼	('⿱𠆢一', '⿱人一')	('GHTJ', 'Z')		3.0	195.2	0.0
亽	('⿱𠆢丶',)	('GK',)		3.0	0.0	0.0
亿	('⿰亻乙',)	('GH',)		3.0	4720.2	0.0
兦	('⿺𠃊入',)	('GTJKP',)		3.0	0.0	0.0
凢	('⿱㇒几',)	('GHTJKP',)		3.0	0.0	0.0
刄	('⿻刀乀',)	('GTJKP',)		3.0	0.5	0.0
卫	('⿱\U0003018a一',)	('G',)		3.0	96808.9	0.0
孑	('⿻了㇀',)	('GHTJKP',)		3.0	656.0	0.0
孒	('⿰了一',)	('GTJKP',)		3.0	13.9	0.0
孓	('⿻了㇏',)	('GHT',)		3.0	6.3	0.0
飞	('⿰⺄{24}', '⿰⺄𡿨')	('G', 'H')		3.0	122191.5	0.0
𠀄	('⿱乛丄',)	('T',)		3.0	0.0	0.0
𠀆	('𠀆',)	('K',)		3.0	0.0	0.0
𠃒	('⿻𠃊十', '⿻㇄十')	('[G]', 'T')		3.0	0.0	0.0
𠃔	('⿰𠂈乚',)	('TV',)		3.0	0.0	0.0
𠆣	('⿱一人',)	('GT',)		3.0	0.0	0.0
𠆥	('⿻人㇒', '⿻人丿')	('T', 'X')		3.0	0.0	0.0
𠓛	('⿱入一',)	('GT',)		3.0	0.0	0.0
𠔀	('⿻八一',)	('GT',)		3.0	0.0	0.0
𠙵	('⿶凵一',)	('GT',)		3.0	0.0	0.0
𠚤	('⿱⺈丶', '⿰㇒龴')	('G', 'X')		3.0	0.0	0.0
𠠲	('⿰㇒力', '⿻勹丿')	('GT', 'X')		3.0	0.0	0.0
𠧒	('⿱⺊乙',)	('G',)		3.0	0.0	0.0
𠫓	('⿻一厶', '⿱亠厶')	('GT', 'J')		3.0	0.0	0.0
𡕒	('⿻丅𠃋', '⿻丅𠃊')	('G', 'T')		3.0	0.0	0.0
𡤼	('⿰一了',)	('TV',)		3.0	0.0	0.0
𡯂	('⿱八几',)	('GHT',)		3.0	0.0	0.0
𡰣	('⿱{50}丿',)	('T',)		3.0	0.0	0.0
𢌬	('⿻八一', '⿻儿一')	('T', 'UCS2003')		3.0	0.0	0.0
𢎗	('𢎗',)	('G',)		3.0	0.0	0.0
𣱱	('⿰㇒\U000306c5', '\u31ef水一')	('G', 'X')		3.0	0.0	0.0
𪜀	('𪜀',)	('V',)		3.0	0.0	0.0
𪜁	('⿱一\U0003018a',)	('G',)		3.0	0.0	0.0
𪟨	('⿺乚匕',)	('K',)		3.0	0.0	0.0
𫝄	('\u2ffd人㇒', '\u31ef久一')	('J', 'X')		3.0	0.0	0.0
𫡃	('⿲丨一丨',)	('G',)		3.0	0.0	0.0
𫡏	('⿱𠂉丿',)	('T',)		3.0	0.0	0.0
𬺱	('⿹十㇒', '\u31ef木㇏')	('J', 'X')		3.0	0.0	0.0
𬺳	('⿱一刀',)	('J',)		3.0	0.0	0.0
𬼖	('⿷匸一',)	('J',)		3.0	0.0	0.0
𬼸	('⿱丷亅',)	('J',)		3.0	0.0	0.0
𭅲	('⿴㔾丶',)	('J',)		3.0	0.0	0.0
𰀰	('⿳⺄⺄⺄',)	('G',)		3.0	0.0	0.0
𱍸	('⿸⿱㇒𠄌乀',)	('V',)		3.0	0.0	0.0
日	('⿴囗一',)	('GHTJKPV',)		4.0	514151.9	9822778.350000003
木	('⿻十𠆢',)	('GHTJKPV',)		4.0	92869.0	7474839.950000064
灬	('灬',)	('GHTJKP',)		4.0	1.2	4644121.400000001
心	('⿰㇒⿻乚⿰丶丶',)	('GHTJKPV',)		4.0	669648.1	3837790.549999999
月	('⿵⺆二',)	('GHTJKPV',)		4.0	318861.4	3345556.8016666756
戈	('⿺𭠍丶',)	('GHTJKPV',)		4.0	9928.8	2953911.766666665
攵	('攵',)	('GHTJK',)		4.0	45.9	2608633.8166666664
从	('⿰人人',)	('GHTJKP',)		4.0	467135.3	1809192.2499999995
𠮛	('⿱一口',)	('GT',)		4.0	0.0	1730285.2999999996
斤	('⿸𠂆丅',)	('GHTJKPV',)		4.0	13138.9	1714591.8999999987
贝	('⿸⿵冂丿丶',)	('GH',)		4.0	14764.2	1656096.200000001
⺝	.	.		4.0	0.0	1620273.1083333327
曰	('曰',)	('GHTJKPV',)		4.0	931648.4	1611104.3583333336
止	('\u2ffd上丨',)	('GHTJKPV',)		4.0	95271.7	1568020.8749999998
耂	('⿻土㇒',)	('GHTJ',)		4.0	0.7	1492332.9999999998
犬	('⿺大丶',)	('GHTJKPV',)		4.0	13675.0	1427944.0333333332
尤	('⿺尢丶',)	('GHTJKP',)		4.0	23243.7	1406895.1999999997
𤣩	('𤣩',)	('HT',)		4.0	0.0	1347553.4499999979
巨	('⿷匚{50}',)	('GHTJKP',)		4.0	51113.6	1273753.0999999996
文	('⿱亠乂',)	('GHTJKPV',)		4.0	249436.0	1248950.0999999996
𱼀	('⿻夕丶',)	('S',)		4.0	0.0	1232771.04
车	('⿻⿻一𠃋十',)	('GH',)		4.0	195551.7	1227116.3999999992
方	('⿱丶万',)	('GHTJKPV',)		4.0	369874.6	1127895.6499999987
王	('⿱一土',)	('GHTJKPV',)		4.0	729387.7	1074487.326666667
火	('火',)	('GHTJKPV',)		4.0	133273.9	1068665.9499999993
殳	('⿱𠘧又', '⿱几又')	('GHTP[B]', 'JK')		4.0	1079.5	984603.1499999998
廿	('⿱卄一',)	('GHTJKP',)		4.0	5209.5	965179.0333333332
欠	('⿱⿰㇒乛人',)	('GHTJKPV',)		4.0	6997.7	964926.8000000003
云	('⿱二厶',)	('GHTJKPV',)		4.0	123644.2	949835.5
开	('⿱一廾',)	('GTJ',)		4.0	462557.9	791843.2666666668
见	('⿸⿵冂丿乚',)	('GH',)		4.0	569940.2	791809.8
⺼	.	.		4.0	0.0	789833.4583333328
龰	('⿺人⺊',)	('H',)		4.0	0.0	776771.1
中	('⿻口丨',)	('GHTJKPV',)		4.0	787351.8	776263.2000000002
巴	('⿻巳丨',)	('GHTJKPV',)		4.0	48795.0	750348.3
礻	('礻',)	('GHJK',)		4.0	49.2	734902.8333333337
爫	('⿱㇒𭕄', '⿱㇒⿲㇒丶丶')	('GH[M]TV[B]', 'JK[P]')		4.0	0.0	721107.5250000001
旡	('⿱一⿸⿻𠃋丿乚', '⿻无丨')	('GHTP', 'JK')		4.0	348.7	705736.2333333335
龶	('⿻土一',)	('GU',)		4.0	0.0	686373.2
井	('⿻二⿰丿丨',)	('GHTJKPV',)		4.0	18416.1	660374.7
牙	('⿹⿻丁𠃋㇒', '⿹⿻丁𠃊㇒')	('GHTJKPV', 'X')		4.0	30626.4	642774.0000000001
𫧇	('⿱匕匕',)	('V',)		4.0	0.0	615035.8
爿	('⿰⿱𠃊丆丨',)	('GHTJKP',)		4.0	185.4	587563.1
歹	('⿱一夕',)	('GHTJKPV',)		4.0	2478.4	553356.9000000004
不	('⿸丆⿰丨丶', '⿻丆卜')	('GHTJKP', 'V')		4.0	3199008.9	535737.5000000002
𠃜	('⿻尸丨',)	('G',)		4.0	0.0	518891.8
元	('⿱一兀',)	('GHTJKPV',)		4.0	152496.3	508412.10000000003
戶	('⿸𠂆{50}', '⿱㇒尸')	('GHTKP', 'X')		4.0	51968.8	501841.08333333355
帀	('⿱一巾',)	('GTJKPV',)		4.0	209.2	495606.39999999997
夭	('⿱㇒大',)	('GHTJKPV',)		4.0	7334.0	451483.23333333345
𫩏	('⿴囗丨',)	('GU',)		4.0	0.0	441409.75
𭃂	('⿻刀二',)	('G',)		4.0	0.0	432339.8
戸	('⿱一尸',)	('GTJ',)		4.0	0.0	426258.89166666666
夬	('⿻{14}人',)	('GHTJKP',)		4.0	1589.9	415402.80000000016
勿	('⿹勹⿰丿丿',)	('GHTJKPV',)		4.0	28455.2	406680.10000000003
𧘇	('𧘇',)	('HV',)		4.0	0.0	402479.53333333327
反	('⿸𠂆又', '⿸厂又')	('GHPV', 'TJK')		4.0	198862.3	400191.8000000001
尹	('⿻{43}丿',)	('GHTJKPV',)		4.0	28536.5	390780.80000000005
牜	('牜',)	('GHJ',)		4.0	0.0	368919.6000000006
予	('⿱龴𠄐',)	('GHTJKPV',)		4.0	32684.9	355876.4
气	('⿳𠂉一⺄',)	('GHTJKP',)		4.0	335128.6	351901.89999999997
𰀡	('⿲丨丨又',)	('VB',)		4.0	0.0	345107.9
𠓜	('⿰入入',)	('GT',)		4.0	0.0	341001.4
夫	('⿻二人',)	('GHTJKPV',)		4.0	348072.0	328907.0000000001
𠬝	('⿸卩又',)	('GTJV',)		4.0	0.0	326625.35
手	('⿱㇒⿻二亅',)	('GHTJKPV',)		4.0	521757.2	325143.7000000001
比	('⿰⿺乚一匕', '⿰⿺乚一⿺乚一', '⿰匕匕', '⿰⿺乚一⿺乚㇒')	('GJKP', 'H', 'T', 'V')		4.0	294370.0	310470.30000000016
𠂒	('⿰㇒土', '\u31ef生一')	('T', 'X')		4.0	0.0	304623.8
𡈼	('⿱㇒土',)	('GHT',)		4.0	0.0	294712.79333333333
仒	('⿱𠆢⺀',)	('GK',)		4.0	0.0	290437.36666666664
